date,symbol,open,high,low,close,volume
2025-12-08,AAPL,278.1300,279.6693,276.1500,277.8900,36406317
2025-12-08,MSFT,484.8850,492.3000,484.3800,491.0200,20668450
2025-12-08,NVDA,182.6400,188.0000,182.4000,185.5500,191927261
2025-12-08,XOM,115.8300,117.0000,115.0400,115.9800,14856756
2025-12-09,AAPL,278.1600,280.0300,276.9200,277.1800,31753410
2025-12-09,MSFT,489.1000,492.1200,488.5001,492.0200,14092776
2025-12-09,NVDA,185.5600,185.7167,183.3200,184.9700,142372621
2025-12-09,XOM,116.9000,120.4700,116.8900,118.2500,23781621
2025-12-10,AAPL,277.7500,279.7500,276.4400,278.7800,33038318
2025-12-10,MSFT,484.0300,484.2500,475.0800,478.5600,35756229
2025-12-10,NVDA,184.9650,185.4800,182.0350,183.7800,162785370
2025-12-10,XOM,118.7250,119.8650,118.3700,119.5400,19845192
2025-12-11,AAPL,279.0950,279.5900,273.8100,278.0300,33247986
2025-12-11,MSFT,476.6300,486.0300,475.8600,483.4700,24669180
2025-12-11,NVDA,180.2750,181.3200,176.6200,180.9300,182136641
2025-12-11,XOM,119.1100,120.3600,119.0650,119.5400,14781787
2025-12-12,AAPL,277.9000,279.2200,276.8200,278.2800,39532887
2025-12-12,MSFT,479.8200,482.4500,476.3400,478.5300,21248102
2025-12-12,NVDA,181.1100,182.8200,174.6200,175.0200,204274918
2025-12-12,XOM,119.4400,119.9200,118.3100,118.8200,14459538
2025-12-15,AAPL,280.1500,280.1500,272.8400,274.1100,50409078
2025-12-15,MSFT,480.1000,480.7205,472.5200,474.8200,23727694
2025-12-15,NVDA,177.9360,178.4150,175.0300,176.2900,164775636
2025-12-15,XOM,119.0100,119.0300,116.8500,117.7600,16358669
2025-12-16,AAPL,272.8200,275.5000,271.7900,274.6100,37648628
2025-12-16,MSFT,471.9050,477.8900,470.8800,476.3900,20705560
2025-12-16,NVDA,176.2600,178.4900,174.9000,177.7200,148588098
2025-12-16,XOM,116.7650,116.8400,114.6100,114.6800,17638716
2025-12-17,AAPL,275.0100,276.1600,271.6400,271.8400,50138743
